iter	Passed	Remaining
703	828	348
704	829	346
705	831	346
706	832	344
707	833	343
708	833	342
709	834	340
710	835	339
711	835	338
712	836	336
713	837	335
714	838	334
715	838	332
716	839	331
717	840	330
718	841	328
719	842	327
720	842	326
721	843	324
722	845	324
723	846	322
724	847	321
725	848	320
726	849	318
727	850	317
728	850	316
729	851	315
730	852	313
731	853	312
732	853	311
733	854	309
734	855	308
735	856	307
736	857	305
737	858	304
738	858	303
739	859	302
740	860	300
741	861	299
742	862	298
743	863	296
744	863	295
745	864	294
746	865	293
747	865	291
748	866	290
749	867	289
750	868	287
751	868	286
752	869	285
753	870	283
754	871	282
755	871	281
756	872	280
757	873	278
758	874	277
759	876	276
760	877	275
761	877	274
762	878	273
763	879	271
764	880	270
765	881	269
766	882	268
767	883	266
768	884	265
769	885	264
770	886	263
771	887	262
772	887	260
773	888	259
774	889	258
775	890	257
776	891	255
777	892	254
778	893	253
779	893	252
780	894	250
781	895	249
782	896	248
783	896	247
784	897	245
785	899	244
786	899	243
787	900	242
788	901	241
789	902	239
790	903	238
791	905	237
792	906	236
793	907	235
794	908	234
795	909	233
796	910	231
797	911	230
798	912	229
799	913	228
800	914	227
801	915	226
802	916	224
803	917	223
804	919	222
805	920	221
806	921	220
807	922	219
808	923	217
809	923	216
810	924	215
811	925	214
812	926	213
813	927	212
814	928	210
815	929	209
816	930	208
817	931	207
818	931	205
819	932	204
820	934	203
821	935	202
822	936	201
823	937	200
824	938	199
825	939	197
826	940	196
827	941	195
828	942	194
829	943	193
830	944	192
831	944	190
832	945	189
833	946	188
834	947	187
835	948	186
836	949	184
837	950	183
838	951	182
839	952	181
840	953	180
841	953	178
842	954	177
843	955	176
844	956	175
845	957	174
846	958	173
847	959	171
848	959	170
849	960	169
850	961	168
851	962	167
852	964	166
853	965	165
854	966	163
855	967	162
856	968	161
857	969	160
858	970	159
859	971	158
860	971	156
861	972	155
862	973	154
863	974	153
864	975	152
865	976	151
866	977	149
867	978	148
868	979	147
869	980	146
870	981	145
871	982	144
872	983	143
873	984	141
874	985	140
875	986	139
876	987	138
877	988	137
878	989	136
879	990	135
880	991	133
881	992	132
882	995	131
883	996	130
884	997	129
885	998	128
886	999	127
887	1000	126
888	1001	124
889	1001	123
890	1002	122
891	1003	121
892	1004	120
893	1005	119
894	1006	118
895	1007	116
896	1009	115
897	1011	114
898	1012	113
899	1013	112
900	1013	111
901	1014	110
902	1015	109
903	1016	107
904	1017	106
905	1017	105
906	1018	104
907	1019	103
908	1020	102
909	1021	100
910	1021	99
911	1024	98
912	1025	97
913	1026	96
914	1027	95
915	1028	94
916	1029	93
917	1029	91
918	1030	90
919	1031	89
920	1031	88
921	1032	87
922	1033	86
923	1034	85
924	1035	83
